verb,noun,instruction
construct,poem,Construct a poem that reflects beauty and the human experience.
find,subset,"Given an array of positive integers, find all possible subsets whose sum is equal to a given target number."
identify,party,Identify the political party of a given politician.
update,statement,Update the following statement for clarity:
design,experiment,Design an experiment to prove the concept of self-fulfilling prophecies.
describe,trend,Describe the trends in US gun violence over the last decade.
design,website,Design an e-commerce website
rearrange,word,"Rearrange the words in the sentence to make a grammatically correct statement: ""the streets around here dirty are very""."
generate,headline,Generate a headline for the article that explains the following information:
list,example,List three examples of how the given technology is being used.
choose,book,Choose a random book from the library and write a summary of it in less than 100 words.
list,symptom,List five symptoms of a panic attack.
check,grammar,"Given a sentence, check the grammar and make corrections where necessary."
answer,question,Answer the following question: What are alternate ways to generate electricity other than burning fossil fuels?
construct,sentence,"Using the given sentence, construct a valid English sentence."
compare,art,Compare Renaissance art to modern art.
evaluate,puzzle,Evaluate the jigsaw puzzle with a rating from 1 to 5
list,characteristic,List two common characteristics of mammals.
describe,purpose,Describe the purpose of sorting algorithms.
find,word,Find a five-letter word that begins with 'd' and ends with 's'.
create,character,Create a cartoon character that resembles a mouse.
analyze,logo,Analyze the logo of this company.
take,text,"Take the input text and change the argument presented in it, output the modified text."
describe,feature,Describe the features of a Google Pixel phone.
write,snippet,Write a code snippet in Javascript that assigns a value to an array.
write,equation,Write an equation for the circumference of a circle.
generate,list,Generate a list of 5 items we are most likely to find in a garage.
analyze,issue,Analyze a current controversial issue and determine which side you agree with and why.
generate,list,Generate a list of five marketing strategies for a new product launch.
edit,sentence,Edit the following sentence so that it expresses an opinion:
tell,benefit,Tell me a few benefits of eating vegetables.
compute,value,Compute the value of 252^2 - 248^2.
name,country,Name five foreign countries that were part of the Soviet Union.
sort,object,Sort the following objects by size
summarize,role,Summarize the role of data scientists in a few sentences.
generate,list,Generate a list of five descriptions for a given concept.
summarize,impact,Summarize the impact of climate change in 2-3 sentences
classify,sentence,"Classify the following sentence into either an imperative, declarative, interrogative, or exclamatory sentence."
create,query,Create a prediction query.
create,speech,Create a speech that explains why everyone should recycle.
find,benefit,Find the health benefits of eating avocados.
generate,phrase,Generate a phrase that is associated with being competitive
develop,list,Develop a list of possible outcomes of the given scenario
generate,story,Generate a personal story backed by facts about the following topic.
generate,list,Generate a list of five topics for a debate about the environment
name,impact,Name the most significant impact of the internet.
suggest,food,Suggest three safe foods for a diabetic to enjoy
analyze,statement,Analyze the given statement to identify the author's opinion.
name,animal,Name an animal that can live in cold climates.
compose,email,Compose an email to a customer apologizing for the delayed shipment and provide a potential solution.
replace,word,"Replace the word ""angry"" to make the sentence more polite."
construct,representation,Construct a visual representation of the following two equations.
describe,family,Describe the color family of coral.
read,report,"Read the following report on a recent soccer match and give a brief summary, focusing on key events and the final result."
pick,topic,Pick a topic and write a short persuasive essay on it.
identify,grammar,"Given two sentences, identify any wrong grammar and word usage and revise the sentences."
count,number,Count the number of verbs in the context and list them.
translate,sentence,"Translate the German sentence ""Sie hat das gemacht."" into English."
name,device,Name two poetic devices.
recommend,class,Recommend a good beginner yoga class
develop,strategy,Develop a strategy for managing a large project
take,statement,Take a given statement and make it more persuasive.
give,digit,Give me the remaining digits for the following number.
name,type,Name one type of artificial neural network.
generate,sentence,Generate a creative opening sentence for a story.
create,piece,Create a piece of artwork using this sentence
determine,pair,Determine the pair of numbers with the greatest product.
suggest,way,Suggest some ways to optimize a given webpage.
give,example,Give an example of a work related to literature from the 19th century.
contain,ball,A box contains 5 white balls and 6 black balls. Five balls are drawn out of the box at random. What is the probability that they all are white?
have,connection,"A friend shares the following text with you and asks for your opinion: \""Purple-eyed individuals have a stronger psychic connection to the cosmos and have more chances to predict the future.\"" Analyze the statements and point out logical fallacies or unsupported claims."
name,sport,Name two sports that use a racquet.
rewrite,sentence,Rewrite the following sentence in two different ways
create,acronym,Create an acronym for the United Nations using five letters.
have,lining,"Identify the figure of speech used in the phrase ""Every cloud has a silver lining""."
match,country,Match the 8 most populous countries of the world with their corresponding populations.
give,name,Give a name to an invention that can turn common household appliances into autonomous robots
list,reason,List three reasons why individuals should recycle plastics.
find,opposite,Find the opposite of this word
describe,moment,Describe the moment of inertia in two sentences.
explain,difference,How would you explain the difference between a novel and a short story?
compare,piece,Compare the given two pieces of artwork and tell us how they are similar and different.
complete,poem,Complete the poem with appropriate words.
rewrite,sentence,Rewrite the following sentences to sound more persuasive.
correct,text,Correct the following text.
generate,introduction,Generate a unique introduction to a speech about computer vision.
produce,pun,"Produce a pun from the words ""clam"" and ""ham."""
write,post,Write a blog post on why small businesses should invest in SEO
summarize,article,Summarize a 5-page article about global warming.
create,list,Create a list of 5 items that are commonly found in a school auditorium
explain,difference,Explain the difference between the two types
create,code,Create a code that will generate an array of numbers from 1 to 100
provide,adjective,Provide five adjectives to describe someone who is smart.
generate,report,Generate a financial report based on the given expenditure list.
compose,tweet,Compose a tweet that addresses the issue of environmental degradation.
categorize,sentiment,"Based on the given input, categorize the sentiment of the text."
describe,technique,Describe a technique to accelerate the completion of a monotonous task.
describe,component,Describe the major components of a well-rounded diet.
generate,title,Generate a unique title for this story: a princess who must come up with a solution to a dragon problem.
write,description,Write a description for a restaurant that serves Italian food.
create,resume,"Create a resume for the following person:

John Smith"
rank,president,Rank the following presidents by the number of years they held office in the US
add,detail,Add the missing detail to the application form.
reword,sentence,Reword the sentence below using a different structure.
formulate,plan,Formulate a plan to complete this assignment
find,term,"Find the terms for the sequence 7,11,15,19"
create,tagline,Create a tagline for a website offering career-counseling services
generate,title,Generate an article title for a news article discussing the side-effects of the coronavirus mandated mask-wearing.
summarize,paragraph,Summarize the following paragraph in less than 5 lines
generate,list,Generate a list of random words.
design,game,Design a game to teach students about conservation efforts.
generate,example,Generate an example of a data set with 100 records of customers and their corresponding occupations.
generate,sentence,"Generate two correct, but very different, sentences written in the same style to explain the same concept."
describe,difference,Describe the differences between a substantive and procedural law.
name,flower,"Given the input, name a flower."
generate,headline,Generate a compelling headline that expresses the essence of the following text.
write,story,Write a short story with the following prompt: A grandmother and her grandchild taking a walk in the park.
write,function,Write a function in Java to output a progress bar in a for loop iterating over array 'arr'.
create,list,Create a list of five activities you would do to celebrate your birthday.
write,riddle,Write three joke riddles
assign,grade,"Assign a letter grade of A, B, C, D, or F to a student based on their grades."
list,thing,List five things that are associated with freedom.
write,headline,"Write a headline for the following article: 

https://www.huffpost.com/entry/how-social-media-affects-mental-health_b_5ba7c9f9e4b008ab8041fd3d"
make,dish,Make an Italian pasta dish.
identify,advantage,Identify two advantages of using online banking.
name,people,Name four famous people from history.
write,email,Write an email to a customer thanking them for their purchase
identify,fallacy,Identify three logical fallacies within the following argument and explain why they are fallacies.
create,slogan,"Create a slogan that conveys the message ""eat healthily""."
classify,text,Classify the given text based on its genre.
create,menu,"Create a dinner menu that includes entrée, side dish and dessert options for the following cuisine."
describe,virus,Describe a computer virus and its effects.
give,tip,Give me a few tips for improving time management.
create,quiz,Create a pop quiz about clouds.
name,nation,Name two nations that compete in the FIFA World Cup
generate,idea,Generate 10 new ideas to solve an existing problem.
list,step,List three steps for starting a blog.
remove,node,"Given the head of a linked list and an integer val, remove all the nodes of the linked list that has Node.val == val, and return the new head."
provide,evidence,Does the statement provide any evidence to support the claim?
describe,economy,Describe the underground economy.
give,piece,"You will be given a piece of text about an event. Based on the information in the text, you need to answer whether the event is possible or not. Your answer must be either Yes or No. If it is not possible for the event to happen based on the information in the text, then your answer should be 'No'. If it is possible for the event to happen, even if it may not necessarily happen, then your output should be 'Yes'."
suggest,tip,Suggest some tips for reducing your carbon footprint.
remove,word,"Given a list of words, remove duplicate words and output the list with unique words."
give,tip,Give 3 tips to improve an online virtual presentation
create,set,Create a set of instructions on how to operate a robot arm.
create,representation,Create a visual representation of the relationship between two variables.
create,device,Create a mnemonic device to help someone remember the names of the first five U.S. Presidents.
translate,phrase,"Translate the phrase ""Let’s have fun"" into Spanish"
find,number,"Find the missing number in the following sequence:  4, 8, 12, 16, 20, __"
create,list,Create a list of potential problems with online shopping.
have,matrix,You have two matrices. Return their cross product without a library in C++.
name,ingredient,Name an ingredient used in Italian cuisine
explaine,law,Explaine the law of supply and demand.
generate,rule,Generate a silly rule that could be implemented in your office space.
create,theorem,Create a theorem using the provided formula and three other variables.
give,example,Give 3 examples of a seafood dish.
build,representation,Build a representation of the following data structure:
find,solution,Find the solution to the equation ax3 + bx2 + cx + d = 0
design,advertisement,Design an advertisement promoting a healthy lifestyle.
write,difference,Write two differences between a dog and a cat.
provide,example,Provide at least three examples of how Artificial Intelligence is being used in the healthcare domain.
analyze,pro,Analyze the pros and cons of displaying ads on a website.
rewrite,sentence,Rewrite the sentence below to make it less biased.
analyze,market,Analyze this market and list the pros and cons.
list,strategy,List four strategies for teaching children to read.
find,error,Find the errors in the sentence and suggest the corrections.
edit,sentence,Edit the following sentence (highlight changes in bold)
compose,email,Compose a professional email following up on a job application.
create,poem,Create a descriptive poem about the night sky. Output less than 50 words.
translate,sentence,"Translate this sentence into Japanese and say what dialect it is:
""Hardships make us stronger."""
generate,metaphor,"Given the input, generate a metaphor."
find,antonym,"Find the antonym of ""lengthy""."
create,phrase,Create a four-word phrase that describes a bright sunny day.
create,query,Create a search query for finding articles about artificial intelligence.
describe,design,Describe the design of a t-shirt.
recite,poem,Recite a poem about rivers.
write,story,Write a 200-word story about a robot lab assistant.
figure,amount,Figure out the final principle payment amount for a loan with the given details.
give,piece,"You will be given a piece of text either about an everyday event, or a general statement. If the event seems implausible to you, or the general statement does not make sense according to your commonsense, output 'False', otherwise output 'True'."
create,description,Create five unique descriptions for a car
identify,country,"Given some landmarks, identify the country"
provide,solution,Provide a solution for decreasing the road accidents in India
name,book,Name a popular book in the fantasy genre
assign,item,Assign the following item a unique nickname.
research,topic,"Research the topic of ""Artificial Intelligence in Healthcare"" and summarize the key points."
reverse,engineer,Reverse engineer the following object piece by piece and describe each part.
construct,sentence,Construct a new sentence that uses the same word in a different context.
reword,sentence,Reword the sentence to give it a more negative context.
answer,question,"Given a scientific article, answer a question about the article."
give,piece,Give me three pieces of advice on how to give an effective presentation
write,story,Write a fiction story about a character who is lost in the woods.
name,element,Name two elements of a successful email marketing strategy.
name,store,Name a retail store that is owned by Walmart.
compose,tweet,Compose a tweet about democracy that creatively expresses the importance of each individual in the vote.
generate,pun,Generate a pun about dogs.
create,list,Create a list of the best surfing spots around the world.
describe,effect,Describe the effects of climate change on the lifestyle of an East African farmer.
generate,list,Generate a list of songs that could be played at a party.
identify,flaw,Identify the major flaws in the following code snippet.
convert,cup,Convert 4 cups into ounces.
create,experiment,Create an experiment that evaluates a certain feature.
rewrite,sentence,"Rewrite the following sentence to include a main verb: ""The books written by J.K. Rowling""."
explain,fundamental,Explain the fundamentals of blockchain technology
identify,cause,Identify the cause of the problem in the given text.
format,sentence,Format the following sentence to be an imperative instruction
create,plan,Create a proper diet plan for a person who is trying to improve their health.
select,option,"Select the most suitable option for this sentence: ""The cake _____ delicious""."
edit,sentence,"Edit the following sentence to remove any spelling, grammar, or stylistic errors."
write,list,Write down a shopping list for a week.
compare,navigation,Compare satellite navigation and Global Positioning System (GPS)
grant,pardon,Which U.S. President granted the first pardon for a U.S. federal crimial offense?
create,list,Create a list of five warm-up exercises you can do before going out for a run.
assign,sentence,"Assign each sentence to a category of either sports, fashion, technology or business."
suggest,organization,Suggest a charity organization for animal welfare.
classify,figure,"Classify the following figure. Output 1 if it is a rectangle, and 0 if it is not."
make,list,Make a to-do list for the upcoming week.
generate,way,Generate creative ways to learn a language.
tell,story,Tell a story about a girl who travels to the moon.
generate,list,Generate a list of five career options for a Data Scientist
edit,sentence,Edit the following sentence so it expresses the same meaning but contains fewer words.
take,text,Take an existing text and delete any redundant or irrelevant phrases that might clutter the structure of the text.
edit,sentence,"Edit this sentence: “No pain, no danced.”"
generate,technique,Generate a cognitive-behavioral therapy (CBT) technique
generate,report,Generate a report summarizing the sales performance in the past quarter.
create,soundtrack,Create a movie soundtrack from the following list of songs.
write,description,Write a description of the process flow of a restaurant.
categorize,object,Categorize this object according to the taxonomic classification system.
create,algorithm,Create an algorithm for detecting plagiarism in a document.
describe,system,Describe the operating system used in the movie The Matrix.
create,algorithm,Create an algorithm to convert Fahrenheit to Celsius.
generate,quiz,"Given a number, generate a multiple-choice quiz."
calculate,answer,Calculate the answer to the following equation: 8*(2+3)
classify,flower,Classify this flower as a type of rose.
suggest,exercise,Suggest an alternative exercise to jogging.
generate,plan,Generate a business plan for a start-up company.
classify,breed,Classify the following pet’s breed
create,joke,Create a funny joke with a pun.
determine,method,Determine the most efficient method for the online store to ship orders.
write,list,Write a list of instructions on how to make French Fries.
write,story,Write a story from the perspective of a teenager feeling homesick.
identify,word,"Identify a rhyming word for the word ""eyes"". Output the word."
generate,list,Generate a list of five tips to save money on groceries.
reverse,engineer,Reverse engineer the following sentence so it's in the passive voice.
write,essay,Write a three-line essay about the importance of getting enough sleep.
find,fact,Find 4 interesting facts about the topic.
correct,spelling,"In the given sentence, correct the spelling of the highlighted word."
identify,perspective,Identify the perspective of the speaker in the given statement
replace,word,Replace the bold words with an appropriate synonym.
generate,sentence,Generate a sentence that expresses intent to do something.
change,phrase,Change the noun phrase into a pronoun phrase.
choose,word,Choose the most suitable word for the context.
describe,difference,Describe the differences between a cloud and a fog in 3-4 sentences.
research,topic,Research a topic and provide a summary report on it.
explain,consequence,Explain the consequences of sleep deprivation on physical and mental health.
list,county,List the counties of Ireland.
create,simile,"Given the two words “snake” and “grass”, create a simile."
create,email,Create an email requesting a meeting with a professor.
categorize,line,Categorize the company's product line into four.
describe,remedy,Describe a home remedies to treat a sore throat
describe,design,Describe the design of the Eiffel Tower
spell,word,Spell this word for me.
explain,change,Explain the changes from Donald Trump’s administration to Joe Biden’s administration in regards to foreign relations.
rearrange,word,Rearrange the following words to form an adjective phrase.
translate,sentence,"Translate the following sentence into Chinese: ""It is raining outside"""
explain,functionality,Explain the functionality of an Object-Relational Mapping (ORM)
take,walk,Rewrite the sentence: “She often takes long walks in the park”
detect,cyberbullying,Detect any cyberbullying in the following conversation.
generate,list,Generate a list of 3 possible blogs that could be written on the subject of “Data Science & Machine Learning”
create,version,Create a modified version of the following recipe that only takes 15 minutes to prepare:
compare,advantage,Compare the advantages and disadvantages of traditional and virtual learning environments.
construct,narrative,Construct a narrative that explains the solution to the problem.
list,form,List the different forms of energy.
write,function,Write a Java function that segments an array of 10 items into arrays of 3.
suggest,superhero,Suggest a legendary superhero and explain why they are considered legendary
analyze,dialogue,Analyze the following dialogue and tell me what it suggests about the two people.
outline,difference,Outline the main differences between two models.
give,way,Give 5 creative and original ways to use a glass jar.
create,poem,"Create a poem with 10 lines, describing the beauty of a sunset."
give,example,Give an example of a compound sentence using the following two sentences:
compose,jingle,Compose a jingle for a health food product.
explain,importance,Explain the importance of an antioxidant-rich diet.
design,curriculum,Design a suitable curriculum for a 5th-grade student studying English.
draft,email,Draft an email informing your team about the upcoming company retreat.
generate,strategy,Generate a media strategy
translate,passage,Please translate this passage from English to French.
make,poem,Make up a poem about a violent storm.
provide,conjugation,"Provide the correct verb conjugation for the following sentences: 
I (write)"
answer,question,Answer this trivia question
provide,example,Provide an example of a complex adverb
construct,sentence,"Construct a sentence using the present tense of the verb ""eat""."
rewrite,sentence,"Rewrite the following sentence using a possessive pronoun instead of ""The cat's""."
summarize,article,Summarize this article about the US economy in one sentence.
edit,sentence,Edit the following sentence using the De Morgan's law:
extend,paragraph,Extend the following paragraph with additional information
create,example,Create an example of a memorable customer service experience.
generate,story,"Using the facts given, generate a story about a character."
name,situation,"Name one situation where you could use the phrase ""at the drop of a hat""."
summarize,point,"Given this paragraph, summarize its key points."
create,plan,Create a market segmentation plan for a luxury watch store
find,example,Find an example of a cultural celebration in an African country.
choose,word,"Choose the correct word to complete the sentence:

Many species of birds _________ in the winter."
write,sentence,"Write a sentence that starts with the words ""the truth""."
create,poster,Create a poster that explains why people should visit the Rocky Mountains.
generate,question,"Given a person's name, generate 3 questions you can ask the person."
generate,article,Generate an article about the recent breakthrough in gene editing.
